# pnof5 / def2-svp / energies in kcal/mol
Set:Reaction    EnergyApprox    Energy  abs(EnergyDiff)
MB16-43:5         -534.54       147.68   682.22
MB16-43:16        -416.56       326.76   743.32
MB16-43:21         661.70       806.23   144.53
MB16-43:24         935.83      1070.64   134.81
MB16-43:23        -577.27       215.39   792.66
MB16-43:40       -1135.31      -362.98   772.33
MB16-43:19         486.52       664.56   178.04
MB16-43:22         116.17       706.20   590.03
MB16-43:31         341.14       534.90   193.76
MB16-43:38         -95.32        98.19   193.51
MB16-43:14         169.03       384.89   215.86
MB16-43:37         431.88       629.78   197.90
MB16-43:35          33.08       228.18   195.10
MB16-43:32         435.09       685.58   250.49
MB16-43:30        1101.18      1290.74   189.56
MB16-43:4         -364.09       356.85   720.94
MB16-43:3          393.63       518.66   125.03
MB16-43:43        -285.51       421.97   707.48
MB16-43:2          587.04       737.79   150.75
MB16-43:8          542.10       681.96   139.86
MB16-43:41          -1.59       160.29   161.88
MB16-43:15          27.20       216.10   188.90
MB16-43:42           7.33       754.65   747.32
MB16-43:28         163.54       325.12   161.58
MB16-43:34         385.71       538.26   152.55
SIE4x4:8             2.51        19.10    16.59
SIE4x4:7             5.57        31.30    25.73
SIE4x4:16            4.69         9.30     4.61
SIE4x4:6            13.41        46.90    33.49
W4-11:131           88.19       147.02    58.83
