# pnof7 / def2-svp / energies in kcal/mol
Set:Reaction    EnergyApprox    Energy  abs(EnergyDiff)
SIE4x4:8            21.45        19.10     2.35
SIE4x4:7            32.12        31.30     0.82
SIE4x4:16            8.10         9.30     1.20
SIE4x4:6            46.24        46.90     0.66
SIE4x4:15           12.21        16.90     4.69
SIE4x4:12           -1.83         4.90     6.73
SIE4x4:14           18.92        29.10    10.18
SIE4x4:5            54.93        56.90     1.97
SIE4x4:11            4.61        13.40     8.79
SIE4x4:4            34.03        38.30     4.27
SIE4x4:10           14.53        25.90    11.37
W4-11:131           60.38       147.02    86.64
W4-11:117           99.75       290.58   190.83
W4-11:137          -18.93       152.37   171.30
W4-11:139           39.64       105.24    65.60
W4-11:42           361.08       577.78   216.70
W4-11:138          -17.30       147.43   164.73
W4-11:135            1.33       134.72   133.39
W4-11:121           84.48       233.30   148.82
W4-11:129           75.08       234.35   159.27
W4-11:105          119.45       331.79   212.34
W4-11:47           283.73       430.97   147.24
W4-11:136           22.48       126.39   103.91
DC13:8             -19.84       -92.00    72.16
ALK8:2              31.35        53.15    21.80
ALK8:1              73.72        86.47    12.75
BH76:2             126.22        82.60    43.62
ALKBDE10:3          17.10        96.20    79.10
ALKBDE10:8          12.97        62.20    49.23
G2RC:21            -99.99       -81.21    18.78
