# pnof7 / def2-svp / energies in kcal/mol
Set:Reaction    EnergyApprox    Energy  abs(EnergyDiff)
SIE4x4:8            21.45        19.10     2.35
SIE4x4:7            32.12        31.30     0.82
SIE4x4:6            46.24        46.90     0.66
SIE4x4:5            54.93        56.90     1.97
SIE4x4:4            34.03        38.30     4.27
SIE4x4:3            45.07        48.70     3.63
W4-11:117           99.75       290.58   190.83
W4-11:137          -18.93       152.37   171.30
W4-11:139           39.64       105.24    65.60
W4-11:138          -17.30       147.43   164.73
W4-11:121           84.48       233.30   148.82
W4-11:129           75.08       234.35   159.27
W4-11:105          119.45       331.79   212.34
W4-11:115           79.00       233.09   154.09
W4-11:125           46.21       227.88   181.67
W4-11:114           66.57       270.85   204.28
W4-11:110           54.10       105.81    51.71
DC13:8             -19.84       -92.00    72.16
BH76:2             126.22        82.60    43.62
BH76:10            104.86       104.80     0.06
ALKBDE10:3          17.10        96.20    79.10
ALKBDE10:8          12.97        62.20    49.23
G2RC:21            -99.99       -81.21    18.78
G2RC:11              7.02       -24.89    31.91
W4-11:131           60.38       147.02    86.64
W4-11:136           22.48       126.39   103.91
W4-11:135            1.33       134.72   133.39
W4-11:42           361.08       577.78   216.70
W4-11:47           283.73       430.97   147.24
W4-11:108           58.03       346.94   288.91
